id,timestamp,headline,source,corridor,risk_score,severity,summary,url
EVT_0030,2026-08-20T08:00:00Z,Indias top refiner hastens to replace russian crude,LLaMA Ground Truth / Other,Other,5.0,HIGH,Top Indian refiner scrambling to replace Russian crude,https://krude.energy/intelligence
EVT_0031,2026-08-20T08:00:00Z,Red sea attacks msc ships are latest to spurn key route amid houthi threats,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,MSC avoiding Red Sea - major carrier rerouting under threat,https://krude.energy/intelligence
EVT_0032,2026-08-20T08:00:00Z,Indian refiners continue to buy russian oil sources refute pause report amid trumps tirade,LLaMA Ground Truth / India-Russia Trade,Other,4.0,MEDIUM,Refiners deny pause in Russian crude buying,https://krude.energy/intelligence
EVT_0033,2026-08-20T08:00:00Z,Israel makes big statement on attacking iran tehran orders material required to make missiles from enough to build united states nuclear deal china houthis yemen hezbollah hamas gaza,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,7.0,HIGH,Israel-Iran escalation threat spanning Houthi/Hezbollah theatres,https://krude.energy/intelligence
EVT_0034,2026-08-20T08:00:00Z,Opec weighs extension of output cuts amid slackening demand,LLaMA Ground Truth / OPEC/Production,Other,5.0,HIGH,OPEC weighing extension of output cuts,https://krude.energy/intelligence
EVT_0035,2026-08-20T08:00:00Z,If us has right to buy russian fuel why shouldnt india putin on trump tariffs sanctions,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,Putin rhetoric on sanctions double standards,https://krude.energy/intelligence
EVT_0036,2026-08-20T08:00:00Z,U s forces shoot down ballistic missiles in red sea kill gunmen in attack by yemens houthi rebels 39e,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,US forces engaging Houthi missiles and gunmen in Red Sea,https://krude.energy/intelligence
EVT_0037,2026-08-20T08:00:00Z,Iran news oil tanker grace 1 gibraltar syria eu sanctions mohammad javad zarif,LLaMA Ground Truth / Sanctions Policy,Other,7.0,HIGH,Grace 1 tanker seizure and EU sanctions standoff,https://krude.energy/intelligence
EVT_0038,2026-08-20T08:00:00Z,Saudi arabia says us bound oil tankers significantly damaged in gulf attacks,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,Multiple US-bound tankers significantly damaged in Gulf sabotage,https://krude.energy/intelligence
EVT_0039,2026-08-20T08:00:00Z,India invests 370 million in 10 year deal to operate irans chabahar port,LLaMA Ground Truth / Other,Other,2.0,LOW,"Chabahar investment - alternative route, resilience-positive",https://krude.energy/intelligence
EVT_0040,2026-08-20T08:00:00Z,Red sea crisis markets spike following houthi missile attacks as concerns grow over impact on global supply chains,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,Houthi missile attacks with confirmed market and supply-chain impact,https://krude.energy/intelligence
EVT_0041,2026-08-20T08:00:00Z,Inept african ports miss chance as red sea attacks reroute ships,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,6.0,HIGH,Confirmed rerouting of ships away from Red Sea,https://krude.energy/intelligence
EVT_0042,2026-08-20T08:00:00Z,Us uk launch new round of joint strikes against multiple houthi sites in yemen allies retalitory strikes iranian backed missile storage sites drones launchers red sea ships attacked,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,9.0,CRITICAL,US/UK strikes on Houthi sites - state kinetic escalation over the corridor,https://krude.energy/intelligence
EVT_0043,2026-08-20T08:00:00Z,Oil and gas demand to peak by iea,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Long-run IEA demand outlook,https://krude.energy/intelligence
EVT_0044,2026-08-20T08:00:00Z,India exporter stocks fall as iran attack sparks cost concerns,LLaMA Ground Truth / Other,Other,6.0,HIGH,Indian exporter stocks fall on Iran attack cost concerns,https://krude.energy/intelligence
EVT_0045,2026-08-20T08:00:00Z,India turns to saudi as purchases of russian crude oil fall in december,LLaMA Ground Truth / India-Russia Trade,Other,3.0,MEDIUM,Sourcing shift from Russia toward Saudi,https://krude.energy/intelligence
EVT_0046,2026-08-20T08:00:00Z,Qatar cautiously following recent developments in strait of hormuz,LLaMA Ground Truth / Hormuz,Hormuz,5.0,HIGH,Qatar monitoring Hormuz developments,https://krude.energy/intelligence
EVT_0047,2026-08-20T08:00:00Z,Saudi arabia says its oil pipeline was attacked by drones,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,Drone attack on Saudi pipeline - the main Hormuz bypass,https://krude.energy/intelligence
EVT_0048,2026-08-20T08:00:00Z,Kpa expects slight interruption in operations after suez canal blockage,LLaMA Ground Truth / Suez,Suez,6.0,HIGH,Port operations disrupted downstream of Suez blockage,https://krude.energy/intelligence
EVT_0049,2026-08-20T08:00:00Z,Iran oil exports rise september data un sanctions,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,Iranian exports rising despite sanctions,https://krude.energy/intelligence
EVT_0050,2026-08-20T08:00:00Z,Uae say welcomes participation of other countries in tankers attack probe,LLaMA Ground Truth / Other,Other,6.0,HIGH,Multinational probe into tanker attacks,https://krude.energy/intelligence
EVT_0051,2026-08-20T08:00:00Z,Goal of june opec meeting to extend output cuts oman energy minister,LLaMA Ground Truth / OPEC/Production,Other,5.0,HIGH,OPEC meeting aimed at extending cuts,https://krude.energy/intelligence
EVT_0052,2026-08-20T08:00:00Z,India in trump s crosshairs will new delhi back down on russian oil,LLaMA Ground Truth / India-Russia Trade,Other,4.0,MEDIUM,Analysis of US pressure on India over Russian crude,https://krude.energy/intelligence
EVT_0053,2026-08-20T08:00:00Z,India has ended iranian oil imports ambassador says,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,Confirms end of Iranian crude imports,https://krude.energy/intelligence
EVT_0054,2026-08-20T08:00:00Z,Indian refiners signalling reduction of russian oil imports claims us congressman after visit to india pakistan,LLaMA Ground Truth / India-Russia Trade,Other,4.0,MEDIUM,Claimed reduction in Indian purchases of Russian crude,https://krude.energy/intelligence
EVT_0055,2026-08-20T08:00:00Z,India an oil money laundromat for kremlin white house trade advisor peter navarro backs trump 50 tariff on india,LLaMA Ground Truth / Other,Other,5.0,HIGH,US official backing 50% tariff on India over Russian oil,https://krude.energy/intelligence
EVT_0056,2026-08-20T08:00:00Z,.government looking series options tanker seized iran,LLaMA Ground Truth / Tanker Incident,Hormuz,7.0,HIGH,Government weighing response options after tanker seizure,https://krude.energy/intelligence
EVT_0057,2026-08-20T08:00:00Z,Shipping firm maersk says its preparing for resumption of red sea voyages after attacks from yemen,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,2.0,LOW,Maersk preparing to resume Red Sea voyages - de-escalatory,https://krude.energy/intelligence
EVT_0058,2026-08-20T08:00:00Z,Two oil tankers attacked in gulf of oman us blames iran,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,Two tankers attacked in Gulf of Oman,https://krude.energy/intelligence
EVT_0059,2026-08-20T08:00:00Z,Putin says opec output cuts likely to continue into,LLaMA Ground Truth / OPEC/Production,Other,4.0,MEDIUM,Putin signals OPEC cuts continuing,https://krude.energy/intelligence
EVT_0060,2026-08-20T08:00:00Z,Iran says british tanker seized because of collision,LLaMA Ground Truth / Tanker Incident,Hormuz,8.0,CRITICAL,Iran confirms seizure of British tanker at Hormuz,https://krude.energy/intelligence
EVT_0061,2026-08-20T08:00:00Z,French fm red sea shipping attacks cannot go unanswered,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,7.0,HIGH,French escalatory statement on Red Sea attacks,https://krude.energy/intelligence
EVT_0062,2026-08-20T08:00:00Z,Us seeks insecurity in persian gulf strait of hormuz iran vp,LLaMA Ground Truth / Hormuz,Hormuz,5.0,HIGH,Iranian rhetoric accusing US of destabilising Hormuz,https://krude.energy/intelligence
EVT_0063,2026-08-20T08:00:00Z,Iran seizes british liberian tankers in strait of hormuz,LLaMA Ground Truth / Hormuz,Hormuz,9.0,CRITICAL,Multiple tankers seized by Iran inside Strait of Hormuz,https://krude.energy/intelligence
EVT_0064,2026-08-20T08:00:00Z,India tells iran decision on buying oil after elections,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,India deferring decision on Iranian crude,https://krude.energy/intelligence
EVT_0065,2026-08-20T08:00:00Z,India cuts windfall tax on petroleum crude,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Domestic windfall tax change on crude,https://krude.energy/intelligence
EVT_0066,2026-08-20T08:00:00Z,India to drive global oil demand growth till as iea revises forecast upward,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,IEA demand growth forecast,https://krude.energy/intelligence
EVT_0067,2026-08-20T08:00:00Z,Two oil tankers in the gulf of oman go up in flames driving oil prices up by 2 us blames iran for attack,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,"Two tankers ablaze in Gulf of Oman, prices up 2%",https://krude.energy/intelligence
EVT_0068,2026-08-20T08:00:00Z,India may witness longer slowdown as oil imports consumption decline,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Demand slowdown indicator,https://krude.energy/intelligence
EVT_0069,2026-08-20T08:00:00Z,Oil surges opec indicates maintain output cuts finance,LLaMA Ground Truth / OPEC/Production,Other,5.0,HIGH,"OPEC signals maintaining cuts, prices surge",https://krude.energy/intelligence
EVT_0070,2026-08-20T08:00:00Z,Us sanctions 6 indian companies over iran oil trade,LLaMA Ground Truth / Sanctions Policy,Other,6.0,HIGH,US sanctions directly on Indian firms over Iran oil trade,https://krude.energy/intelligence
EVT_0071,2026-08-20T08:00:00Z,India says it will keep buying russian crude despite us threats,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,India states it will keep buying Russian crude,https://krude.energy/intelligence
EVT_0072,2026-08-20T08:00:00Z,Iran says its revolutionary guard seized foreign oil tanker strait hormuz,LLaMA Ground Truth / Hormuz,Hormuz,8.0,CRITICAL,IRGC seizes a foreign oil tanker at Hormuz,https://krude.energy/intelligence
EVT_0073,2026-08-20T08:00:00Z,Iran almost certainly behind oil tanker attacks uae coast us,LLaMA Ground Truth / Tanker Incident,Hormuz,7.0,HIGH,US attribution of UAE-coast tanker attacks to Iran,https://krude.energy/intelligence
EVT_0074,2026-08-20T08:00:00Z,India purchases of russian oil skyrocket reuters,LLaMA Ground Truth / India-Russia Trade,Other,3.0,MEDIUM,Import volume statistic,https://krude.energy/intelligence
EVT_0075,2026-08-20T08:00:00Z,Moscow warns against baseless accusations over tanker attacks,LLaMA Ground Truth / Tanker Incident,Other,5.0,HIGH,Russian diplomatic pushback over tanker attack accusations,https://krude.energy/intelligence
EVT_0076,2026-08-20T08:00:00Z,Oil tankers attacked near strait of hormuz oil prices soar,LLaMA Ground Truth / Hormuz,Hormuz,9.0,CRITICAL,"Multiple tankers attacked near Hormuz, prices soar",https://krude.energy/intelligence
EVT_0077,2026-08-20T08:00:00Z,The latest south korea firm confirms rescue of oil tanker crew after reportedattack,LLaMA Ground Truth / Other,Other,7.0,HIGH,Crew rescued after confirmed tanker attack,https://krude.energy/intelligence
EVT_0078,2026-08-20T08:00:00Z,India iran sign pact to develop chabahar port,LLaMA Ground Truth / Other,Other,2.0,LOW,Chabahar development pact - alternative route,https://krude.energy/intelligence
EVT_0079,2026-08-20T08:00:00Z,What bidens oil ban means for you at the gas pump,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,Consumer impact of Russian oil import ban,https://krude.energy/intelligence
EVT_0080,2026-08-20T08:00:00Z,Oil falls on hopes that suez canal blockage might end soon,LLaMA Ground Truth / Suez,Suez,2.0,LOW,Prices fall on hopes Suez blockage clears soon,https://krude.energy/intelligence
EVT_0081,2026-08-20T08:00:00Z,Us sanctions maduros nephews six venezuelan oil shipping firms a day after oil tanker seizure,LLaMA Ground Truth / Sanctions Policy,Other,5.0,HIGH,US sanctions on Venezuelan oil shipping firms,https://krude.energy/intelligence
EVT_0082,2026-08-20T08:00:00Z,Indian oil not in active negotiations with russia on crude term deal amid geopolitical uncertainties cmd,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,IOC not in term-deal talks with Russia amid geopolitical uncertainty,https://krude.energy/intelligence
EVT_0083,2026-08-20T08:00:00Z,Iran rebuilding missile sites pezeshkian will never build nuclear bomb,LLaMA Ground Truth / Other,Other,5.0,HIGH,Iran rebuilding missile sites - the primary Hormuz threat vector,https://krude.energy/intelligence
EVT_0084,2026-08-20T08:00:00Z,Ap us national security adviser says stopping houthi red sea attacks is an all hands on deck problem,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,7.0,HIGH,US NSA frames Red Sea attacks as urgent multinational problem,https://krude.energy/intelligence
EVT_0085,2026-08-20T08:00:00Z,Oil slips higher opec supply saudi price cuts offset mideast worries,LLaMA Ground Truth / OPEC/Production,Other,4.0,MEDIUM,Price move on OPEC supply and Saudi price cuts,https://krude.energy/intelligence
EVT_0086,2026-08-20T08:00:00Z,Iran oil exports cbi figures us sanctions,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,Iranian export figures under sanctions,https://krude.energy/intelligence
EVT_0087,2026-08-20T08:00:00Z,India importing crude from 40 countries argentina is new supplier hardeep puri,LLaMA Ground Truth / Other,Other,2.0,LOW,Supplier diversification to 40 countries - resilience-positive,https://krude.energy/intelligence
EVT_0088,2026-08-20T08:00:00Z,Iran india reach final agreement on chabahar port,LLaMA Ground Truth / Other,Other,2.0,LOW,Chabahar final agreement - alternative route,https://krude.energy/intelligence
EVT_0089,2026-08-20T08:00:00Z,Iran summons british envoy over tanker attacks claim foreign ministry,LLaMA Ground Truth / Tanker Incident,Other,6.0,HIGH,Iran summons UK envoy over tanker attack accusations,https://krude.energy/intelligence
EVT_0090,2026-08-20T08:00:00Z,German foreign minister rules out joining u s led hormuz mission,LLaMA Ground Truth / Hormuz,Hormuz,4.0,MEDIUM,Germany rules out joining Hormuz mission,https://krude.energy/intelligence
EVT_0091,2026-08-20T08:00:00Z,India s oil diplomacy,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,General oil diplomacy commentary,https://krude.energy/intelligence
EVT_0092,2026-08-20T08:00:00Z,Oil prices gain edges up as suez canal blockage may take weeks to free,LLaMA Ground Truth / Suez,Suez,8.0,CRITICAL,Suez blockage may last weeks - prolonged corridor closure,https://krude.energy/intelligence
EVT_0093,2026-08-20T08:00:00Z,Oil prices surge after suspected tanker attack near iran,LLaMA Ground Truth / Tanker Incident,Hormuz,8.0,CRITICAL,Prices surge after suspected tanker attack near Iran,https://krude.energy/intelligence
EVT_0094,2026-08-20T08:00:00Z,Crude oil indian refiner seeking spot crude,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Routine spot crude procurement,https://krude.energy/intelligence
EVT_0095,2026-08-20T08:00:00Z,Venezuela oil sanctions,LLaMA Ground Truth / Sanctions Policy,Other,5.0,HIGH,Venezuela oil sanctions,https://krude.energy/intelligence
EVT_0096,2026-08-20T08:00:00Z,Us seeks germany s help to secure strait of hormuz,LLaMA Ground Truth / Hormuz,Hormuz,5.0,HIGH,US seeking German help to secure Hormuz,https://krude.energy/intelligence
EVT_0097,2026-08-20T08:00:00Z,India fears oil spill as cargo ship sinks in arabian sea,LLaMA Ground Truth / Other,Other,4.0,MEDIUM,Cargo ship sinking and spill risk off Indian coast,https://krude.energy/intelligence
EVT_0098,2026-08-20T08:00:00Z,India russia explore collaboration on shipbuilding maritime cooperation,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,India-Russia shipbuilding cooperation - tanker capacity relevance,https://krude.energy/intelligence
EVT_0099,2026-08-20T08:00:00Z,How india plans to continue buying russian oil despite sanctions,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,How India keeps buying Russian crude under sanctions,https://krude.energy/intelligence
EVT_0100,2026-08-20T08:00:00Z,Two more oil tankers attacked in gulf iran rescues crews,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,Two more tankers attacked in the Gulf,https://krude.energy/intelligence
EVT_0101,2026-08-20T08:00:00Z,Trump claims modi assured him india wont buy russian oil calls it big step toward ending ukraine war,LLaMA Ground Truth / India-Russia Trade,Other,4.0,MEDIUM,Claim that India will stop buying Russian oil,https://krude.energy/intelligence
EVT_0102,2026-08-20T08:00:00Z,Report oil firms freight costs spike as war clouds gather in gulf,LLaMA Ground Truth / Other,Hormuz,6.0,HIGH,Freight and insurance costs spiking - classic pre-disruption signal,https://krude.energy/intelligence
EVT_0103,2026-08-20T08:00:00Z,Trump imposed sanctions on india to end russiaukraine war wh w,LLaMA Ground Truth / Sanctions Policy,Other,5.0,HIGH,Sanctions on India tied to Russia-Ukraine war,https://krude.energy/intelligence
EVT_0104,2026-08-20T08:00:00Z,India will do what is in its national interest s jaishankar mike pompeo meeting s 400 deal iran russia,LLaMA Ground Truth / Other,Other,3.0,MEDIUM,Jaishankar on national interest across Iran/Russia files,https://krude.energy/intelligence
EVT_0105,2026-08-20T08:00:00Z,Reuters america update 12 u s blames iran for tanker attacks in gulf of oman iran rejects assertion,LLaMA Ground Truth / Tanker Incident,Hormuz,7.0,HIGH,"US blames Iran for Gulf of Oman attacks, Iran denies",https://krude.energy/intelligence
EVT_0106,2026-08-20T08:00:00Z,How suez canal blockage is leading to a temporary boom for african ports,LLaMA Ground Truth / Suez,Suez,6.0,HIGH,African ports absorbing Suez-blockage rerouting,https://krude.energy/intelligence
EVT_0107,2026-08-20T08:00:00Z,.oil tankers crew land in dubai after gulf of oman attack,LLaMA Ground Truth / Other,Hormuz,6.0,HIGH,Crew safe after Gulf of Oman attack - aftermath,https://krude.energy/intelligence
EVT_0108,2026-08-20T08:00:00Z,India prioritizes energy security over us sanctions keeps russian oil flow,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,India prioritising Russian flows over sanctions pressure,https://krude.energy/intelligence
EVT_0109,2026-08-20T08:00:00Z,India buys russian oil derailing bidens sanctions war,LLaMA Ground Truth / Sanctions Policy,Other,4.0,MEDIUM,Indian purchases undercutting sanctions regime,https://krude.energy/intelligence
EVT_0110,2026-08-20T08:00:00Z,Iranian boat fired missile at us drone prior to tanker attack us official says,LLaMA Ground Truth / Tanker Incident,Hormuz,7.0,HIGH,Iranian missile fired at US drone before tanker attack,https://krude.energy/intelligence
EVT_0111,2026-08-20T08:00:00Z,The west mulls stricter sanctions as russia circumvents the oil price cap,LLaMA Ground Truth / Sanctions Policy,Other,5.0,HIGH,West weighing tighter sanctions as price cap is circumvented,https://krude.energy/intelligence
EVT_0112,2026-08-20T08:00:00Z,Venezuela criminalizes acts affecting trade navigation after us oil tanker seizures president trump blockade pressure campaign maduro economic sanctions,LLaMA Ground Truth / Sanctions Policy,Other,6.0,HIGH,Venezuela criminalises acts affecting navigation after tanker seizures,https://krude.energy/intelligence
EVT_0113,2026-08-20T08:00:00Z,Will the new india iran agreement on chabahar be a game changer for the region,LLaMA Ground Truth / Other,Other,2.0,LOW,Chabahar analysis - alternative route,https://krude.energy/intelligence
EVT_0114,2026-08-20T08:00:00Z,India and china cannot rely on us oil as iran troubles heat up,LLaMA Ground Truth / Other,Other,5.0,HIGH,Analysis of India/China exposure as Iran tensions rise,https://krude.energy/intelligence
EVT_0115,2026-08-20T08:00:00Z,Tankers fire gulf oman after suspected attack,LLaMA Ground Truth / Other,Hormuz,8.0,CRITICAL,Tankers on fire in Gulf of Oman after suspected attack,https://krude.energy/intelligence
EVT_0116,2026-08-20T08:00:00Z,Modi and putin affirm special relationship as india faces steep us tariffs over russian oil imports,LLaMA Ground Truth / India-Russia Trade,Other,4.0,MEDIUM,Modi-Putin ties amid US tariffs over Russian crude,https://krude.energy/intelligence
EVT_0117,2026-08-20T08:00:00Z,.uk considering air strikes houthi rebels stop red sea attacks reports,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,UK considering airstrikes to stop Red Sea attacks,https://krude.energy/intelligence
EVT_0118,2026-08-20T08:00:00Z,Pompeo said to have seen evidence of iran complicity in tanker attacks,LLaMA Ground Truth / Tanker Incident,Other,7.0,HIGH,Evidence of Iranian complicity in tanker attacks,https://krude.energy/intelligence
EVT_0119,2026-08-20T08:00:00Z,Red sea shipping crisis set persist and fuel inflation fears after latest houthi attack,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,8.0,CRITICAL,Red Sea crisis persisting with inflation impact after latest attack,https://krude.energy/intelligence
EVT_0120,2026-08-20T08:00:00Z,Factbox how are the red sea attacks impacting shipping in the suez canal,LLaMA Ground Truth / Red Sea,Bab-el-Mandeb,7.0,HIGH,Factbox on Red Sea attack impact on Suez traffic,https://krude.energy/intelligence
EVT_0121,2026-08-20T08:00:00Z,India expands crude purchase from nigeria,LLaMA Ground Truth / Other,Cape of Good Hope,2.0,LOW,Crude sourcing expanded to Nigeria - diversification,https://krude.energy/intelligence
EVT_0122,2026-08-20T08:00:00Z,Article pompeo tries rallying foreign leaders over alleged oil tanker attacks,LLaMA Ground Truth / Tanker Incident,Other,7.0,HIGH,US rallying allies over alleged tanker attacks,https://krude.energy/intelligence
