month,country,volume_kbd
2025-02,Kuwait,131.68
2025-02,Nigeria,131.68
2025-02,Oman,75.97
2025-02,Angola,91.16
2025-02,Venezuela,0.0
2025-02,Brazil,40.52
2025-02,Other Suppliers,481.15
2025-03,Russia,1567.84
2025-03,Iraq,1189.39
2025-03,Saudi Arabia,702.82
2025-03,UAE,551.45
2025-03,USA,297.35
2025-03,Kuwait,151.38
2025-03,Nigeria,151.38
2025-03,Oman,75.69
2025-03,Angola,91.91
2025-03,Venezuela,0.0
2025-03,Brazil,48.66
2025-03,Other Suppliers,578.48
2025-04,Russia,1594.35
2025-04,Iraq,925.75
2025-04,Saudi Arabia,668.6
2025-04,UAE,504.02
2025-04,USA,257.15
2025-04,Kuwait,133.72
2025-04,Nigeria,149.15
2025-04,Oman,82.29
2025-04,Angola,77.15
2025-04,Venezuela,0.0
2025-04,Brazil,41.14
2025-04,Other Suppliers,709.74
2025-05,Russia,1467.5
2025-05,Iraq,961.46
2025-05,Saudi Arabia,708.45
2025-05,UAE,516.15
2025-05,USA,278.32
2025-05,Kuwait,141.69
2025-05,Nigeria,156.87
2025-05,Oman,91.09
2025-05,Angola,65.78
2025-05,Venezuela,0.0
2025-05,Brazil,45.54
2025-05,Other Suppliers,627.48
2025-06,Russia,1693.86
2025-06,Iraq,846.93
2025-06,Saudi Arabia,647.65
2025-06,UAE,498.19
2025-06,USA,323.83
2025-06,Kuwait,124.55
2025-06,Nigeria,159.42
2025-06,Oman,74.73
2025-06,Angola,59.78
2025-06,Venezuela,0.0
2025-06,Brazil,49.82
2025-06,Other Suppliers,503.18
2025-07,Russia,1972.91
2025-07,Iraq,762.26
2025-07,Saudi Arabia,538.06
2025-07,UAE,484.26
2025-07,USA,313.87
2025-07,Kuwait,107.61
2025-07,Nigeria,147.97
2025-07,Oman,62.77
2025-07,Angola,49.32
2025-07,Venezuela,0.0
2025-07,Brazil,22.42
2025-07,Other Suppliers,22.42
2025-08,Russia,1771.96
2025-08,Iraq,746.09
2025-08,Saudi Arabia,652.83
2025-08,UAE,652.83
2025-08,USA,373.05
2025-08,Kuwait,121.24
2025-08,Nigeria,158.55
2025-08,Oman,79.27
2025-08,Angola,65.28
2025-08,Venezuela,0.0
2025-08,Brazil,18.65
2025-08,Other Suppliers,23.32
2025-09,Russia,1538.55
2025-09,Iraq,893.35
2025-09,Saudi Arabia,744.46
2025-09,UAE,545.94
2025-09,USA,446.68
2025-09,Kuwait,148.89
2025-09,Nigeria,163.78
2025-09,Oman,99.26
2025-09,Angola,89.34
2025-09,Venezuela,0.0
2025-09,Brazil,59.56
2025-09,Other Suppliers,233.26
2025-10,Russia,1348.44
2025-10,Iraq,948.9
2025-10,Saudi Arabia,799.08
2025-10,UAE,559.35
2025-10,USA,474.45
2025-10,Kuwait,159.82
2025-10,Nigeria,174.8
2025-10,Oman,109.87
2025-10,Angola,99.88
2025-10,Venezuela,0.0
2025-10,Brazil,64.93
2025-10,Other Suppliers,254.71
2025-11,Russia,1148.56
2025-11,Iraq,1044.14
2025-11,Saudi Arabia,939.73
2025-11,UAE,600.38
2025-11,USA,548.18
2025-11,Kuwait,182.73
2025-11,Nigeria,177.5
2025-11,Oman,125.3
2025-11,Angola,114.86
2025-11,Venezuela,0.0
2025-11,Brazil,73.09
2025-11,Other Suppliers,266.26
2025-12,Russia,1406.52
2025-12,Iraq,872.66
2025-12,Saudi Arabia,872.66
2025-12,UAE,564.66
2025-12,USA,513.33
2025-12,Kuwait,205.33
2025-12,Nigeria,184.8
2025-12,Oman,133.46
2025-12,Angola,123.2
2025-12,Venezuela,10.27
2025-12,Brazil,77.0
2025-12,Other Suppliers,169.4
2026-01,Russia,1124.02
2026-01,Iraq,953.41
2026-01,Saudi Arabia,1003.58
2026-01,UAE,551.97
2026-01,USA,551.97
2026-01,Kuwait,250.9
2026-01,Nigeria,190.68
2026-01,Oman,150.54
2026-01,Angola,140.5
2026-01,Venezuela,20.07
2026-01,Brazil,25.09
2026-01,Other Suppliers,55.2
2026-02,Russia,1155.33
2026-02,Iraq,682.69
2026-02,Saudi Arabia,1102.81
2026-02,UAE,525.15
2026-02,USA,551.41
2026-02,Kuwait,624.93
2026-02,Nigeria,236.32
2026-02,Oman,157.54
2026-02,Angola,105.03
2026-02,Venezuela,26.26
2026-02,Brazil,26.26
2026-02,Other Suppliers,57.77
2026-03,Russia,2302.15
2026-03,Iraq,184.17
2026-03,Saudi Arabia,368.34
2026-03,UAE,230.22
2026-03,USA,506.47
2026-03,Kuwait,92.09
2026-03,Nigeria,276.26
2026-03,Oman,184.17
2026-03,Angola,276.26
2026-03,Venezuela,23.02
2026-03,Brazil,69.06
2026-03,Other Suppliers,92.09
2026-04,Russia,2353.17
2026-04,Iraq,0.0
2026-04,Saudi Arabia,226.27
2026-04,UAE,271.52
2026-04,USA,452.53
2026-04,Kuwait,0.0
2026-04,Nigeria,271.52
2026-04,Oman,226.27
2026-04,Angola,316.77
2026-04,Venezuela,90.51
2026-04,Brazil,181.01
2026-04,Other Suppliers,135.76
2026-05,Russia,2217.28
2026-05,Iraq,0.0
2026-05,Saudi Arabia,372.21
2026-05,UAE,425.38
2026-05,USA,584.89
2026-05,Kuwait,0.0
2026-05,Nigeria,292.45
2026-05,Oman,265.86
2026-05,Angola,319.03
2026-05,Venezuela,186.1
2026-05,Brazil,239.27
2026-05,Other Suppliers,414.74
2026-06,Russia,2512.17
2026-06,Iraq,0.0
2026-06,Saudi Arabia,200.97
2026-06,UAE,334.96
2026-06,USA,382.81
2026-06,Kuwait,0.0
2026-06,Nigeria,191.4
2026-06,Oman,191.4
2026-06,Angola,239.25
2026-06,Venezuela,220.11
2026-06,Brazil,191.4
2026-06,Other Suppliers,320.6
2026-07,Russia,2801.99
2026-07,Iraq,131.26
2026-07,Saudi Arabia,419.04
2026-07,UAE,459.43
2026-07,USA,126.22
2026-07,Kuwait,50.49
2026-07,Nigeria,106.02
2026-07,Oman,176.7
2026-07,Angola,40.39
2026-07,Venezuela,232.24
2026-07,Brazil,186.8
2026-07,Other Suppliers,318.06
